epoch,train_task_bce,validation_task_bce,train_accuracy,validation_accuracy
59,0.3745063066482544,0.35382941365242004,0.7625,0.9
60,0.346105569601059,0.32757437229156494,0.8625,0.9
61,0.3352185845375061,0.32089924812316895,0.9,1.0
62,0.3270167112350464,0.31116825342178345,0.9375,1.0
63,0.32723042368888855,0.31913337111473083,0.9125,1.0
64,0.32682982087135315,0.3064476251602173,0.9375,1.0
65,0.3238939642906189,0.36126551032066345,0.95,1.0
66,0.35605928897857664,0.35266637802124023,0.875,1.0
67,0.3451020896434784,0.32899847626686096,0.95,1.0
68,0.3315609276294708,0.3273915648460388,0.9125,1.0
69,0.33115431666374207,0.3282092809677124,0.9125,1.0
70,0.32866187691688536,0.3007858097553253,0.9375,1.0
71,0.31876018047332766,0.3156670331954956,0.95,1.0
72,0.3178330659866333,0.28914910554885864,0.9625,1.0
73,0.30978353023529054,0.3003544509410858,0.9375,1.0
74,0.3232407569885254,0.29282882809638977,0.9625,1.0
75,0.31430835127830503,0.29879817366600037,0.9125,1.0
76,0.3170212090015411,0.29679927229881287,0.9,1.0
77,0.30443553924560546,0.29521074891090393,0.95,1.0
78,0.2986933827400208,0.278558611869812,0.95,1.0
79,0.2926577478647232,0.28626537322998047,0.95,1.0
80,0.31129674315452577,0.28036925196647644,0.9625,1.0
81,0.29396244287490847,0.2893858551979065,0.9625,1.0
82,0.2870833396911621,0.2769991159439087,0.975,1.0
83,0.2786836624145508,0.266865611076355,0.975,1.0
84,0.27418757081031797,0.26386040449142456,0.975,1.0
85,0.27372519969940184,0.26357027888298035,0.975,1.0
86,0.27461494207382203,0.2636048197746277,0.975,1.0
87,0.26687746644020083,0.2993205487728119,0.9875,1.0
88,0.2793752610683441,0.25796857476234436,0.9625,1.0
89,0.2635940372943878,0.25599515438079834,0.9875,1.0
90,0.2691908359527588,0.26183342933654785,0.9875,1.0
91,0.2648452967405319,0.2591067850589752,0.975,1.0
92,0.2612828552722931,0.2537323236465454,0.975,1.0
