predicted_event,start_seconds,end_seconds,duration_ms,matched_truth_event,iou,onset_error_ms,offset_error_ms
0,1.2989,2.0570666666666666,758.1666666666666,,,,
1,2.8145333333333333,4.2739666666666665,1459.4333333333334,0,0.2342690085192883,-14.8,1102.7333333333333
2,4.951066666666667,5.8538,902.7333333333333,1,0.6683885049108766,13.6,290.26666666666665
3,7.203033333333333,7.921166666666666,718.1333333333333,2,0.8039920159680639,33.36666666666667,113.93333333333334
4,9.493366666666667,10.173266666666667,679.9,3,0.7104776360100555,22.866666666666667,180.6
5,11.849833333333333,12.485866666666666,636.0333333333333,4,0.7421792353030074,25.666666666666668,144.93333333333334
6,14.1404,14.790833333333333,650.4333333333333,5,0.781457749299159,116.3,-65.6
7,16.438233333333333,16.942566666666668,504.3333333333333,6,0.9413301810489642,30.066666666666666,-1.3666666666666667
8,18.817633333333333,19.193966666666668,376.3333333333333,7,0.7213135701507795,28.6,-116.8
9,21.04083333333333,21.7867,745.8666666666667,8,0.6758705054829831,17.1,230.2
10,23.321133333333332,23.825,503.8666666666667,9,0.7538776120891726,115.76666666666667,-48.733333333333334
11,25.6535,26.038066666666666,384.56666666666666,10,0.8169522730491432,47.666666666666664,-38.5
12,27.974066666666666,28.394333333333332,420.26666666666665,11,0.7664437689969605,30.033333333333335,-98.03333333333333
13,30.2699,30.6863,416.4,12,0.8068724970933988,28.566666666666666,-71.1
14,32.55876666666666,32.9525,393.73333333333335,13,0.7588333547475267,52.46666666666667,-72.66666666666667
15,34.8569,35.69296666666666,836.0666666666667,14,0.5739884613915104,36.36666666666667,335.3
16,37.138333333333335,37.70603333333333,567.7,15,0.8517629407351838,31.9,-66.9
17,39.4363,39.9273,491.0,16,0.7560049271196879,30.766666666666666,-127.7
18,41.737233333333336,42.27343333333334,536.2,17,0.7464501160092808,33.8,-148.33333333333334
19,44.035,44.49036666666667,455.3666666666667,18,0.48653750267113044,112.7,-367.8666666666667
20,47.4818,47.893366666666665,411.56666666666666,19,0.6101502273176517,111.96666666666667,-151.0
21,49.674733333333336,50.02263333333333,347.9,20,0.6951048951048951,51.8,-100.8
22,51.9823,52.339133333333336,356.8333333333333,21,0.689932972415571,43.333333333333336,-117.03333333333333
23,54.27696666666667,54.651833333333336,374.8666666666667,22,0.6254379622935321,35.4,-189.1
24,56.560266666666664,56.926833333333335,366.56666666666666,23,0.679036739734486,28.633333333333333,-144.63333333333333
25,58.85073333333333,59.2137,362.96666666666664,24,0.6975209787970021,48.666666666666664,-108.73333333333333
26,61.1718,61.53503333333333,363.23333333333335,25,0.6181292189006751,86.46666666666667,-137.93333333333334
27,63.45323333333333,63.7869,333.6666666666667,26,0.7330111306385472,34.53333333333333,-87.0
28,65.74563333333333,66.14983333333333,404.2,27,0.7052050014539111,93.83333333333333,-75.13333333333334
29,68.0349,68.4253,390.4,28,0.6491160006650779,112.16666666666667,-98.86666666666666
30,70.3384,70.7553,416.9,29,0.7344961240310077,65.83333333333333,-84.86666666666666
31,72.6547,73.09023333333333,435.53333333333336,30,0.7928398058252427,32.13333333333333,-81.66666666666667
32,74.82476666666666,75.31813333333334,493.3666666666667,31,0.801613951473137,32.666666666666664,-89.43333333333334
33,77.26533333333333,77.6512,385.8666666666667,32,0.6991182509964972,59.56666666666667,-106.5
