epoch,learning_rate,adversarial_weight,train_task_loss,val_task_loss,train_total_loss,adversarial_loss,domain_accuracy,train_accuracy,val_accuracy
1,0.002,0.0,1.1921866893768311,0.7509077787399292,1.1921866893768311,0.7701541662216187,0.525,0.2,0.2
2,0.004,0.0005024068445869778,0.6376113891601562,0.5692906975746155,0.6379535317420959,0.6810346603393554,0.5875,0.2,0.2
3,0.006,0.0010041800198556494,0.6313206315040588,0.7774456143379211,0.6319879412651062,0.6645333886146545,0.63125,0.1875,0.2
4,0.008,0.0015046890493661546,0.6650071144104004,0.5909863710403442,0.6660358071327209,0.6836591601371765,0.6625,0.2,0.2
5,0.01,0.0020033098083092372,0.5644823312759399,0.5878005027770996,0.5659157752990722,0.7155348181724548,0.775,0.2,0.2
6,0.01,0.002499427614630343,0.5853142976760864,0.6028295159339905,0.5872256040573121,0.7646956443786621,0.90625,0.2,0.2
7,0.01,0.0029924402202556478,0.5670812964439392,0.5402075052261353,0.569536030292511,0.8203127145767212,0.85625,0.2,0.2
8,0.01,0.003481760671954812,0.5290505766868592,0.5241620540618896,0.5321219861507416,0.8821441888809204,0.825,0.2,0.2
9,0.01,0.003966820013703409,0.5219645738601685,0.5063744187355042,0.5256082653999329,0.9185421109199524,0.825,0.2,0.2
10,0.01,0.004447069805196664,0.5163263797760009,0.5019916892051697,0.5205038905143737,0.9393858909606934,0.85,0.2,0.2
11,0.01,0.004921984434341189,0.5145978569984436,0.5058755278587341,0.5193515062332154,0.9657996296882629,0.84375,0.2,0.2
12,0.01,0.005391063205030302,0.5068965911865234,0.499054878950119,0.5120705902576447,0.9597360014915466,0.875,0.2,0.2
13,0.01,0.005853832185203696,0.502019339799881,0.49690932035446167,0.5075050592422485,0.9371158957481385,0.875,0.2,0.4
14,0.01,0.006309845804013481,0.49928709864616394,0.49730485677719116,0.5051635205745697,0.9313100337982178,0.93125,0.3375,0.3
15,0.01,0.006758688190776585,0.49832665324211123,0.495095819234848,0.5047132551670075,0.944946801662445,0.95625,0.2375,0.3
16,0.01,0.007199974252202779,0.49770199656486513,0.4950186312198639,0.5045568108558655,0.9520615696907043,0.90625,0.2625,0.3
17,0.01,0.007633350488067765,0.4956537127494812,0.4936710298061371,0.5030467212200165,0.968513572216034,0.89375,0.3625,0.6
18,0.01,0.008058495548981082,0.4951802551746368,0.4920644760131836,0.5032466411590576,1.0009803414344787,0.9625,0.325,0.5
19,0.01,0.008475120543116667,0.4934952676296234,0.4910190999507904,0.502013099193573,1.005039596557617,0.9375,0.275,0.2
20,0.01,0.00888296910167953,0.4929593920707703,0.48947277665138245,0.5021659851074218,1.036433744430542,0.94375,0.3125,0.5
