epoch,learning_rate,adversarial_weight,effective_gradient_ratio,train_task_loss,val_task_loss,train_total_loss,adversarial_loss,domain_accuracy,train_accuracy,val_accuracy
1,0.002,0.0,0.0,1.1921866893768311,0.7509077787399292,1.1921866893768311,0.720447587966919,0.39375,0.2,0.2
2,0.004,0.0,0.0,0.6376113057136535,0.5692905783653259,0.6376113057136535,0.7070060729980469,0.36875,0.2,0.2
3,0.006,0.0,0.0,0.6313202977180481,0.7774476408958435,0.6313202977180481,0.7060442328453064,0.475,0.1875,0.2
4,0.008,0.0,0.0,0.6650098323822021,0.5909852981567383,0.6650098323822021,0.7021738886833191,0.475,0.2,0.2
5,0.01,0.0,0.0,0.5644654989242553,0.5878512263298035,0.5644654989242553,0.7030309200286865,0.4875,0.2,0.2
6,0.01,0.0,0.0,0.585340940952301,0.60277259349823,0.585340940952301,0.7015209555625915,0.48125,0.2,0.2
7,0.01,0.0,0.0,0.5670591950416565,0.5403571724891663,0.5670591950416565,0.6999797821044922,0.51875,0.2,0.2
8,0.01,0.0,0.0,0.529114031791687,0.524185299873352,0.529114031791687,0.6997201681137085,0.53125,0.2,0.2
9,0.01,0.0,0.0,0.5220693230628968,0.5063357949256897,0.5220693230628968,0.6988954424858094,0.50625,0.2,0.2
10,0.01,0.0,0.0,0.5164262771606445,0.5025143623352051,0.5164262771606445,0.6995296359062195,0.625,0.2,0.2
11,0.01,2.7372244954109193,0.04917736202478409,0.5157305836677551,0.5115649700164795,2.427897012233734,0.7000083446502685,0.6,0.2,0.2
12,0.01,1.6901879906654358,0.05168539583683014,0.5086173295974732,0.5027630925178528,1.688058042526245,0.6981578826904297,0.69375,0.2,0.2
13,0.01,1.1754641711711884,0.05337078496813774,0.5030467510223389,0.4970407485961914,1.3241971492767335,0.698931884765625,0.7125,0.2,0.2
14,0.01,0.4384687453508377,0.05505618155002594,0.5002078711986542,0.4965082108974457,0.8067396998405456,0.6989628434181213,0.7625,0.2375,0.4
15,0.01,0.3901857614517212,0.05674157366156578,0.49874608516693114,0.49585631489753723,0.7720333456993103,0.7008692264556885,0.7875,0.45,0.5
16,0.01,0.4908231943845749,0.05842696577310562,0.49881271123886106,0.49605706334114075,0.8419444322586059,0.6999829173088074,0.775,0.325,0.4
17,0.01,0.4214861124753952,0.060112360119819644,0.49651744961738586,0.49349337816238403,0.7913479804992676,0.7000422954559327,0.8,0.35,0.4
18,0.01,0.25927967876195906,0.061797752231359485,0.4952386081218719,0.4933416545391083,0.6766844153404236,0.7000794649124146,0.8625,0.325,0.2
19,0.01,0.6859924137592316,0.06348314881324768,0.4946707308292389,0.49495819211006165,0.9736275315284729,0.6985958695411683,0.85625,0.225,0.2
20,0.01,0.8740398764610291,0.06516853719949722,0.4953265130519867,0.4907701313495636,1.106610357761383,0.7002395391464233,0.85,0.2875,0.5
21,0.01,0.40156065225601195,0.06685393303632736,0.4928796648979187,0.490239679813385,0.7743160843849182,0.7004656195640564,0.85,0.425,0.6
22,0.01,1.163302268087864,0.0685393288731575,0.49377580881118777,0.4941156804561615,1.3063655376434327,0.7008765578269959,0.8875,0.425,0.5
23,0.01,3.135269522666931,0.07022471725940704,0.5125655472278595,0.4914039969444275,2.7074946403503417,0.7003023147583007,0.85625,0.4,0.5
24,0.01,3.738560801744461,0.06803499311208724,0.5068240582942962,0.49400195479393005,3.1160047888755797,0.6981455683708191,0.8125,0.45,0.2
25,0.01,3.084408140182495,0.0719699963927269,0.49550740122795106,0.4926603138446808,2.6438342094421388,0.6965941190719604,0.7625,0.3375,0.4
26,0.005,2.1925334453582765,0.07528089880943298,0.49188126921653746,0.48960447311401367,2.016080403327942,0.6953558683395386,0.75625,0.4125,0.5
27,0.005,2.346621608734131,0.076966293156147,0.4893146276473999,0.48701211810112,2.1228654384613037,0.6960904240608216,0.78125,0.475,0.5
28,0.005,1.2400388836860656,0.07865168899297714,0.48698476552963255,0.4852146506309509,1.3536262035369873,0.6984037280082702,0.84375,0.5375,0.5
29,0.005,1.2010772228240967,0.0803370788693428,0.4828779220581055,0.48501574993133545,1.3203325033187867,0.6979552984237671,0.86875,0.5875,0.6
30,0.005,0.9632583141326905,0.08202247470617294,0.4784156918525696,0.47757118940353394,1.1498653173446656,0.697768259048462,0.875,0.575,0.6
31,0.005,1.5309066355228425,0.08370786160230637,0.4729894042015076,0.4737215042114258,1.538881278038025,0.6977636694908143,0.875,0.575,0.6
32,0.005,1.1932397603988647,0.0853932574391365,0.46803130507469176,0.4677903354167938,1.3025457620620728,0.6992818951606751,0.89375,0.575,0.6
33,0.005,2.7197444915771483,0.08192168772220612,0.46513856649398805,0.4674173891544342,2.361332130432129,0.6973940014839173,0.7875,0.55,0.6
34,0.005,3.4516719818115233,0.07199190258979797,0.46506933569908143,0.47632721066474915,2.8710032224655153,0.6969013214111328,0.80625,0.525,0.6
35,0.005,4.5013844013214115,0.06466714218258858,0.5078142046928406,0.4626728296279907,3.651643419265747,0.6982676744461059,0.89375,0.5375,0.6
36,0.005,3.411270296573639,0.07032706663012504,0.4844506740570068,0.47587841749191284,2.8621158838272094,0.6972090482711792,0.85625,0.575,0.6
37,0.005,4.407124042510986,0.0702877938747406,0.46842246055603026,0.45868992805480957,3.537585496902466,0.6965067148208618,0.8,0.4875,0.6
38,0.005,1.4640767097473144,0.09550561606884003,0.45121877193450927,0.4570963680744171,1.471729326248169,0.6971519470214844,0.88125,0.5,0.6
39,0.005,3.1512961864471434,0.09067398458719253,0.45471431016922,0.4609195291996002,2.6486242532730104,0.6962815880775451,0.8625,0.5375,0.6
40,0.005,3.713872957229614,0.09261394292116165,0.4511197924613953,0.4610048234462738,3.0381299018859864,0.69627445936203,0.79375,0.5125,0.5
41,0.005,2.016178011894226,0.10056179612874985,0.44713366627693174,0.4371829628944397,1.851417350769043,0.6966379642486572,0.8625,0.5375,0.6
42,0.005,3.282208299636841,0.09040546640753747,0.44525858759880066,0.4494071304798126,2.7323234558105467,0.6973268628120423,0.89375,0.525,0.6
43,0.005,3.5343875527381896,0.08845323473215103,0.4451172471046448,0.4491623044013977,2.907486081123352,0.6967467784881591,0.8625,0.5625,0.6
44,0.005,3.8531086921691893,0.08663597255945206,0.4374111592769623,0.43818071484565735,3.1202476978302003,0.6965149283409119,0.8,0.525,0.6
45,0.005,3.210691809654236,0.09642926007509231,0.4317354202270508,0.4412023723125458,2.67042760848999,0.6973224759101868,0.83125,0.5375,0.6
46,0.005,4.492435550689697,0.09766430109739303,0.4544310212135315,0.4819636046886444,3.593256378173828,0.6987443447113038,0.8625,0.55,0.6
47,0.005,3.931085538864136,0.07411560043692589,0.44720309376716616,0.4333489239215851,3.1869165182113646,0.6971211552619934,0.76875,0.5625,0.6
48,0.005,4.149864959716797,0.09324937835335731,0.4401723802089691,0.4401989281177521,3.327031707763672,0.6957493901252747,0.83125,0.4625,0.6
49,0.005,2.5788061141967775,0.10769192427396775,0.4277676582336426,0.4277820885181427,2.2233973145484924,0.6969727158546448,0.85625,0.5,0.6
50,0.005,1.216956341266632,0.11573033332824707,0.419941383600235,0.4210769534111023,1.2695786118507386,0.6980989575386047,0.8875,0.575,0.6
51,0.005,1.6741827964782714,0.11741573363542557,0.41310330629348757,0.43584442138671875,1.5804020047187806,0.697101354598999,0.85,0.5625,0.6
