epoch,train_task_bce,validation_task_bce,train_accuracy,validation_accuracy
1,1.1114352226257325,0.7057148218154907,0.2,0.2
2,0.6212011456489563,0.6311670541763306,0.2,0.2
3,0.5883822202682495,0.5366407036781311,0.2125,0.2
4,0.5727001070976258,0.5643885731697083,0.2125,0.2
5,0.5600971341133117,0.5632618069648743,0.225,0.2
6,0.5425725698471069,0.5211399793624878,0.2,0.3
7,0.5261211395263672,0.5145018100738525,0.2625,0.2
8,0.5144314646720887,0.504921555519104,0.2375,0.2
9,0.5087130725383758,0.5019086599349976,0.2125,0.2
10,0.5059311985969543,0.4993450939655304,0.2,0.2
11,0.5017261922359466,0.5008004307746887,0.2,0.2
12,0.5002760708332061,0.4979362189769745,0.2,0.2
13,0.4993483603000641,0.5038528442382812,0.2,0.2
14,0.5005725443363189,0.49509426951408386,0.2,0.2
15,0.4975400328636169,0.4979732930660248,0.25,0.2
16,0.49695696830749514,0.49156856536865234,0.2,0.2
17,0.49494227170944216,0.4899655282497406,0.2,0.2
18,0.4921953737735748,0.4879613518714905,0.2,0.2
19,0.49053046107292175,0.4860953986644745,0.2125,0.4
20,0.4912286579608917,0.48403504490852356,0.2375,0.4
21,0.49070526361465455,0.4818722903728485,0.2875,0.5
22,0.4863821268081665,0.4803699851036072,0.325,0.4
23,0.48581087589263916,0.4725925326347351,0.35,0.5
24,0.4832559168338776,0.47647055983543396,0.35,0.5
25,0.5036321401596069,0.4650264084339142,0.4125,0.5
26,0.47888012528419494,0.4640212655067444,0.4375,0.5
27,0.47449944019317625,0.4598371684551239,0.4375,0.5
28,0.4691583812236786,0.45451846718788147,0.4375,0.5
29,0.463701456785202,0.44780436158180237,0.475,0.6
30,0.45877631902694704,0.4407685101032257,0.5,0.6
31,0.4541748404502869,0.4488702118396759,0.55,0.6
32,0.4608962833881378,0.48769503831863403,0.55,0.6
33,0.48151865005493166,0.4570648670196533,0.5375,0.7
34,0.46035791039466856,0.46056199073791504,0.6125,0.6
35,0.46522759795188906,0.4548622965812683,0.5625,0.8
36,0.4576187014579773,0.4423113167285919,0.5875,0.6
37,0.44971763491630556,0.43013811111450195,0.575,0.6
38,0.4404730975627899,0.42527562379837036,0.5625,0.6
39,0.4372292339801788,0.434000700712204,0.575,0.6
40,0.43849784731864927,0.42658334970474243,0.5625,0.6
41,0.43216846585273744,0.41663268208503723,0.5625,0.6
42,0.4325118839740753,0.41115254163742065,0.5875,0.6
43,0.4299574077129364,0.4222847819328308,0.5875,0.6
44,0.42156327366828916,0.40575695037841797,0.6375,0.6
45,0.4150237262248993,0.40764907002449036,0.5875,0.6
46,0.4253003418445587,0.4020231068134308,0.6125,0.6
47,0.42668846249580383,0.4219738245010376,0.6625,0.6
48,0.4403933584690094,0.41376689076423645,0.5375,0.6
49,0.41631322503089907,0.4080539047718048,0.55,0.6
50,0.4077840864658356,0.39486560225486755,0.5875,0.6
51,0.4046395719051361,0.3888638913631439,0.575,0.6
52,0.3961585104465485,0.38984546065330505,0.5625,0.6
53,0.39090499877929685,0.38876572251319885,0.575,0.6
54,0.4049979090690613,0.3880629241466522,0.575,0.6
55,0.4014978349208832,0.3750508427619934,0.5625,0.6
56,0.3883726537227631,0.3840435743331909,0.6,0.6
57,0.3888025939464569,0.3894156217575073,0.6125,0.6
58,0.3911091506481171,0.37462514638900757,0.625,0.6
59,0.38188824653625486,0.37918519973754883,0.5875,0.6
60,0.3811793863773346,0.3733936846256256,0.6625,0.7
61,0.3817972898483276,0.3705601692199707,0.65,0.7
62,0.37944573163986206,0.3737826943397522,0.625,0.6
63,0.40279610753059386,0.3624928593635559,0.5625,0.8
64,0.3838224232196808,0.3651162385940552,0.7125,0.7
65,0.3795311689376831,0.3804522156715393,0.7125,0.6
66,0.3640816867351532,0.35580798983573914,0.675,0.6
67,0.37249451875686646,0.3537347614765167,0.6,0.8
68,0.3617911458015442,0.35505732893943787,0.6625,0.6
69,0.36026710271835327,0.34947240352630615,0.7,0.7
70,0.35868558287620544,0.35943955183029175,0.625,0.7
71,0.3565933406352997,0.37318873405456543,0.7125,0.7
