epoch,train_task_bce,validation_task_bce,train_total_loss,train_coral_loss,train_accuracy,validation_accuracy
1,1.1913967609405518,0.7507500648498535,1.3505061626434327,0.15910939276218414,0.2,0.2
2,0.6373522639274597,0.5709916353225708,0.7907052397727966,0.15335297584533691,0.2,0.2
3,0.6331167459487915,0.7093173265457153,0.7827416300773621,0.14962486922740936,0.1875,0.2
4,0.6556055665016174,0.6421292424201965,0.8077620029449463,0.15215643346309662,0.2,0.2
5,0.6468554377555847,0.5768703818321228,0.7940593481063842,0.1472039043903351,0.2,0.2
6,0.5507255077362061,0.5371708869934082,0.6989351391792298,0.1482096403837204,0.2,0.2
7,0.5313310146331787,0.5216063857078552,0.6781643152236938,0.14683330357074736,0.2,0.2
8,0.5247358202934265,0.5114134550094604,0.6725449562072754,0.14780913591384887,0.2,0.2
9,0.5138529896736145,0.5049144625663757,0.6613791584968567,0.14752617180347444,0.2,0.2
10,0.5088164687156678,0.4995884299278259,0.6532495141029357,0.14443303942680358,0.2,0.3
11,0.5080497443675995,0.5047171711921692,0.6581095457077026,0.15005980134010316,0.3,0.3
12,0.5079464972019195,0.4970458447933197,0.6526474952697754,0.14470100700855254,0.2875,0.4
13,0.5024119257926941,0.49705418944358826,0.6483040452003479,0.1458921253681183,0.2625,0.3
14,0.4999489843845367,0.49605411291122437,0.646149742603302,0.1462007611989975,0.3125,0.4
15,0.49890110492706297,0.4961596727371216,0.6433066248893737,0.1444055140018463,0.35,0.4
16,0.4993250072002411,0.4966930150985718,0.6407220005989075,0.14139700531959534,0.2625,0.2
17,0.49758604168891907,0.49511006474494934,0.6397014141082764,0.14211538434028625,0.2125,0.4
18,0.4964504182338715,0.4945542812347412,0.6384532570838928,0.14200284481048583,0.275,0.3
19,0.4958156764507294,0.4948158264160156,0.635546350479126,0.13973066210746765,0.2125,0.2
20,0.49714677333831786,0.4961387813091278,0.6334440350532532,0.13629726469516754,0.2,0.2
21,0.49638206958770753,0.4953697621822357,0.6303126335144043,0.13393056988716126,0.2,0.2
22,0.49559642672538756,0.4946436285972595,0.6448289632797242,0.14923253953456878,0.2,0.2
23,0.49568064212799073,0.4938254654407501,0.6263718962669372,0.13069125413894653,0.2,0.2
24,0.4953571856021881,0.494222491979599,0.6245206356048584,0.12916344851255418,0.2,0.2
25,0.49549883008003237,0.4943908751010895,0.6158743977546692,0.12037555128335953,0.2,0.2
26,0.49665151834487914,0.4953315258026123,0.6135068655014038,0.11685533970594406,0.2625,0.2
27,0.4960476815700531,0.495230495929718,0.6152395606040955,0.11919187754392624,0.2875,0.2
28,0.4957946419715881,0.4945678412914276,0.6086326718330384,0.1128380224108696,0.325,0.2
29,0.49533517360687257,0.4951132535934448,0.6019163250923156,0.10658115595579147,0.25,0.2
30,0.49623299241065977,0.49619367718696594,0.5998279690742493,0.10359498411417008,0.225,0.2
31,0.4963850021362305,0.4961985945701599,0.5872261643409729,0.09084116518497468,0.225,0.2
32,0.49716941714286805,0.4976256191730499,0.5776966452598572,0.08052723109722137,0.2125,0.2
33,0.4982332468032837,0.49816668033599854,0.5667385458946228,0.06850530356168746,0.2,0.3
34,0.49822476506233215,0.49776795506477356,0.5599489450454712,0.06172418519854546,0.225,0.3
35,0.49833870530128477,0.4988974630832672,0.5519161701202393,0.05357745438814163,0.3,0.4
36,0.5008990824222564,0.4997689425945282,0.5397522807121277,0.038853203877806664,0.3,0.3
37,0.4991451740264893,0.49826356768608093,0.5373987078666687,0.03825353682041168,0.2625,0.2
38,0.49806118607521055,0.498439759016037,0.5316893577575683,0.03362817317247391,0.2625,0.2
39,0.4987247347831726,0.4983825087547302,0.5247494339942932,0.02602469511330128,0.25,0.3
40,0.49925640821456907,0.49975883960723877,0.5197246670722961,0.02046825848519802,0.2875,0.3
41,0.4995595395565033,0.5006588697433472,0.5254831314086914,0.02592359036207199,0.35,0.3
42,0.5007613718509674,0.4994974732398987,0.5153197646141052,0.014558399468660355,0.3125,0.4
43,0.4993993520736694,0.4995032548904419,0.5159840703010559,0.016584712080657482,0.35,0.4
44,0.49852892756462097,0.4999534785747528,0.5137795388698578,0.015250601619482041,0.3125,0.3
45,0.49923400282859803,0.49970942735671997,0.5085955739021302,0.009361564554274083,0.3625,0.3
46,0.4987914264202118,0.498928964138031,0.5131317496299743,0.014340316876769066,0.3375,0.3
47,0.49862673282623293,0.49860045313835144,0.5072905123233795,0.008663785550743342,0.375,0.3
48,0.49742549657821655,0.4987332224845886,0.5124853849411011,0.01505989395081997,0.4375,0.4
49,0.4983051061630249,0.49879884719848633,0.5115277528762817,0.013222646713256837,0.3875,0.4
50,0.49805234670639037,0.49784472584724426,0.5109628796577453,0.012910537421703339,0.4375,0.4
51,0.49637422561645506,0.49723219871520996,0.5073069930076599,0.01093278294429183,0.4125,0.4
52,0.49522395730018615,0.4959482252597809,0.5072129964828491,0.011989054176956416,0.375,0.3
53,0.4970244765281677,0.49632227420806885,0.5162288784980774,0.0192043948918581,0.2,0.2
54,0.497023344039917,0.49708330631256104,0.5103490233421326,0.01332568246871233,0.225,0.2
55,0.4982216417789459,0.4971090853214264,0.5088135182857514,0.010591894667595626,0.225,0.2
56,0.4983984112739563,0.4980776011943817,0.5107861220836639,0.012387705128639936,0.225,0.3
57,0.49826458692550657,0.49809902906417847,0.5101225137710571,0.011857925727963448,0.375,0.3
